87	93	distal
99	111	contractures
185	197	contractures
294	308	arthrogryposis
335	341	distal
342	356	arthrogryposis
423	434	inheritance
525	538	camptodactyly
583	595	Contractures
799	805	distal
806	818	contractures
890	896	distal
897	911	arthrogryposis
988	995	trismus
997	1003	ptosis
1023	1034	keratoconus
1051	1060	scoliosis
1076	1084	position
1090	1094	dull
1362	1368	distal
1369	1381	contractures
1405	1416	inheritance
1515	1529	arachnodactyly
1544	1557	camptodactyly
94	111	limb contractures
179	197	joint contractures
247	261	isolated cases
335	356	distal arthrogryposis
404	422	autosomal dominant
483	502	overlapping fingers
565	581	foot deformities
890	911	distal arthrogryposis
949	961	cleft palate
963	972	cleft lip
974	986	small tongue
1005	1021	epicanthal folds
1036	1049	short stature
1386	1404	autosomal dominant
168	197	congenital joint contractures
404	434	autosomal dominant inheritance
1386	1416	autosomal dominant inheritance
