18	27	carcinoma
615	624	carcinoma
647	652	tumor
952	957	tumor
1195	1210	Medulloblastoma
1359	1371	macrocephaly
1380	1393	hypertelorism
1638	1651	hemivertebrae
1894	1903	scoliosis
2045	2054	frequency
272	284	plantar pits
296	309	rib anomalies
1077	1089	plantar pits
1281	1290	cleft lip
1350	1371	relative macrocephaly
1402	1417	frontal bossing
1426	1442	pectus deformity
1455	1473	Sprengel deformity
1619	1629	bifid ribs
1905	1918	cervical ribs
1923	1935	spina bifida
7	27	basal cell carcinoma
218	239	basal cell carcinomas
604	624	basal cell carcinoma
1923	1943	spina bifida occulta
