67	73	severe
262	270	epilepsy
371	379	epilepsy
520	528	Epilepsy
641	649	Epilepsy
650	658	severity
660	668	epilepsy
765	776	generalized
777	785	epilepsy
817	825	epilepsy
832	839	seizure
900	908	seizures
922	927	onset
948	956	Epilepsy
971	976	fever
1108	1116	seizures
1150	1158	seizures
1169	1176	seizure
1241	1249	epilepsy
1344	1351	seizure
1352	1361	frequency
1365	1372	seizure
1473	1481	epilepsy
1668	1676	Epilepsy
1777	1785	epilepsy
1797	1802	onset
1853	1860	seizure
1867	1875	severity
2276	2282	severe
2284	2295	generalized
2309	2317	epilepsy
74	92	mental retardation
94	109	speech disorder
1011	1029	status epilepticus
67	92	severe mental retardation
