#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=We analyzed 61 Angelman syndrome (AS) patients by cytogenetic and molecular techniques. On the basis of molecular findings, the patients were classified into the following 4 groups: familial cases without deletion, familial cases with submicroscopic deletion, sporadic cases with deletion, and sporadic cases without deletion. Among 53 sporadic cases, 37 (70%) had molecular deletion, which commonly extended from D15S9 to D15S12, although not all deletions were identical. Of 8 familial cases, 3 sibs from one family had a molecular deletion involving only 2 loci, D15S10 and GABRB3, which define the critical region for AS phenotypes. The parental origin of deletion, both in sporadic and familial cases, was exclusively maternal and consistent with a genomic imprinting hypothesis. Among sporadic and familial cases without deletion, no uniparental disomy was found and most of them were shown to inherit chromosomes 15 from both parents (biparental inheritance). A discrepancy between cytogenetic and molecular deletion was observed in 14 (26%) of 53 patients in whom cytogenetic analysis could be performed. Ten (43%) of 23 patients with a normal karyotype showed a molecular deletion, and 4 (13%) of 30 patients with cytogenetic deletion, del(15) (q11q13), showed no molecular deletion. Most clinical manifestations, including neurological signs and facial characteristics, were not distinct in each group except for hypopigmentation of skin or hair. Familial cases with submicroscopic deletion were not associated with hypopigmentation. These findings suggested that a gene for hypopigmentation is located outside the critical region of AS and is not imprinted.
1-1	0-2	We	_
1-3	3-11	analyzed	_
1-5	12-14	61	_
1-7	15-23	Angelman	_
1-9	24-32	syndrome	_
1-11	33-34	(	_
1-12	34-36	AS	_
1-13	36-37	)	_
1-15	38-46	patients	_
1-17	47-49	by	_
1-19	50-61	cytogenetic	_
1-21	62-65	and	_
1-23	66-75	molecular	_
1-25	76-86	techniques	_
1-26	86-87	.	_
1-28	88-90	On	_
1-30	91-94	the	_
1-32	95-100	basis	_
1-34	101-103	of	_
1-36	104-113	molecular	_
1-38	114-122	findings	_
1-39	122-123	,	_
1-41	124-127	the	_
1-43	128-136	patients	_
1-45	137-141	were	_
1-47	142-152	classified	_
1-49	153-157	into	_
1-51	158-161	the	_
1-53	162-171	following	_
1-55	172-173	4	_
1-57	174-180	groups	_
1-58	180-181	:	_
1-60	182-190	familial	_
1-62	191-196	cases	_
1-64	197-204	without	_
1-66	205-213	deletion	_
1-67	213-214	,	_
1-69	215-223	familial	_
1-71	224-229	cases	_
1-73	230-234	with	_
1-75	235-249	submicroscopic	_
1-77	250-258	deletion	_
1-78	258-259	,	_
1-80	260-268	sporadic	HPO[0]
1-82	269-274	cases	_
1-84	275-279	with	_
1-86	280-288	deletion	_
1-87	288-289	,	_
1-89	290-293	and	_
1-91	294-302	sporadic	HPO[1]
1-93	303-308	cases	_
1-95	309-316	without	_
1-97	317-325	deletion	_
1-98	325-326	.	_
1-100	327-332	Among	_
1-102	333-335	53	_
1-104	336-344	sporadic	HPO[2]
1-106	345-350	cases	_
1-107	350-351	,	_
1-109	352-354	37	_
1-111	355-356	(	_
1-112	356-358	70	_
1-113	358-360	%)	_
1-115	361-364	had	_
1-117	365-374	molecular	_
1-119	375-383	deletion	_
1-120	383-384	,	_
1-122	385-390	which	_
1-124	391-399	commonly	_
1-126	400-408	extended	_
1-128	409-413	from	_
1-130	414-419	D15S9	_
1-132	420-422	to	_
1-134	423-429	D15S12	_
1-135	429-430	,	_
1-137	431-439	although	_
1-139	440-443	not	_
1-141	444-447	all	_
1-143	448-457	deletions	_
1-145	458-462	were	_
1-147	463-472	identical	_
1-148	472-473	.	_
1-150	474-476	Of	_
1-152	477-478	8	_
1-154	479-487	familial	_
1-156	488-493	cases	_
1-157	493-494	,	_
1-159	495-496	3	_
1-161	497-501	sibs	_
1-163	502-506	from	_
1-165	507-510	one	_
1-167	511-517	family	_
1-169	518-521	had	_
1-171	522-523	a	_
1-173	524-533	molecular	_
1-175	534-542	deletion	_
1-177	543-552	involving	_
1-179	553-557	only	_
1-181	558-559	2	_
1-183	560-564	loci	_
1-184	564-565	,	_
1-186	566-572	D15S10	_
1-188	573-576	and	_
1-190	577-583	GABRB3	_
1-191	583-584	,	_
1-193	585-590	which	_
1-195	591-597	define	_
1-197	598-601	the	_
1-199	602-610	critical	_
1-201	611-617	region	_
1-203	618-621	for	_
1-205	622-624	AS	_
1-207	625-635	phenotypes	_
1-208	635-636	.	_
1-210	637-640	The	_
1-212	641-649	parental	_
1-214	650-656	origin	_
1-216	657-659	of	_
1-218	660-668	deletion	_
1-219	668-669	,	_
1-221	670-674	both	_
1-223	675-677	in	_
1-225	678-686	sporadic	HPO[3]
1-227	687-690	and	_
1-229	691-699	familial	_
1-231	700-705	cases	_
1-232	705-706	,	_
1-234	707-710	was	_
1-236	711-722	exclusively	_
1-238	723-731	maternal	_
1-240	732-735	and	_
1-242	736-746	consistent	_
1-244	747-751	with	_
1-246	752-753	a	_
1-248	754-761	genomic	_
1-250	762-772	imprinting	_
1-252	773-783	hypothesis	_
1-253	783-784	.	_
1-255	785-790	Among	_
1-257	791-799	sporadic	HPO[4]
1-259	800-803	and	_
1-261	804-812	familial	_
1-263	813-818	cases	_
1-265	819-826	without	_
1-267	827-835	deletion	_
1-268	835-836	,	_
1-270	837-839	no	_
1-272	840-851	uniparental	_
1-274	852-858	disomy	_
1-276	859-862	was	_
1-278	863-868	found	_
1-280	869-872	and	_
1-282	873-877	most	_
1-284	878-880	of	_
1-286	881-885	them	_
1-288	886-890	were	_
1-290	891-896	shown	_
1-292	897-899	to	_
1-294	900-907	inherit	_
1-296	908-919	chromosomes	_
1-298	920-922	15	_
1-300	923-927	from	_
1-302	928-932	both	_
1-304	933-940	parents	_
1-306	941-942	(	_
1-307	942-952	biparental	_
1-309	953-964	inheritance	HPO[5]
1-310	964-966	).	_
1-312	967-968	A	_
1-314	969-980	discrepancy	_
1-316	981-988	between	_
1-318	989-1000	cytogenetic	_
1-320	1001-1004	and	_
1-322	1005-1014	molecular	_
1-324	1015-1023	deletion	_
1-326	1024-1027	was	_
1-328	1028-1036	observed	_
1-330	1037-1039	in	_
1-332	1040-1042	14	_
1-334	1043-1044	(	_
1-335	1044-1046	26	_
1-336	1046-1048	%)	_
1-338	1049-1051	of	_
1-340	1052-1054	53	_
1-342	1055-1063	patients	_
1-344	1064-1066	in	_
1-346	1067-1071	whom	_
1-348	1072-1083	cytogenetic	_
1-350	1084-1092	analysis	_
1-352	1093-1098	could	_
1-354	1099-1101	be	_
1-356	1102-1111	performed	_
1-357	1111-1112	.	_
1-359	1113-1116	Ten	_
1-361	1117-1118	(	_
1-362	1118-1120	43	_
1-363	1120-1122	%)	_
1-365	1123-1125	of	_
1-367	1126-1128	23	_
1-369	1129-1137	patients	_
1-371	1138-1142	with	_
1-373	1143-1144	a	_
